date,state,candidate,vote_perc,is_nominee,won_state,event_type
2008-06-21,Puerto Rico commonwealth convention,Hillary Clinton,0,FALSE,TRUE,primary
NA,Nebraska state convention,Hillary Clinton,0,FALSE,TRUE,caucus
2008-01-03,Iowa,Barack Obama,40,TRUE,TRUE,caucus
2008-01-08,New Hampshire,Barack Obama,61,TRUE,TRUE,primary
2008-01-15,Michigan,Barack Obama,31,TRUE,FALSE,primary
2008-01-19,Nevada,Barack Obama,40,TRUE,FALSE,caucus
2008-01-26,South Carolina,Barack Obama,57,TRUE,TRUE,primary
2008-01-29,Florida,Barack Obama,57,TRUE,TRUE,primary
2008-02-05,Alabama,Barack Obama,68,TRUE,TRUE,primary
2008-02-05,Alaska,Barack Obama,90,TRUE,TRUE,caucus
2008-02-05,American Samoa,Barack Obama,68,TRUE,TRUE,caucus
2008-02-05,Arizona,Barack Obama,59,TRUE,TRUE,primary
2008-02-05,Arkansas,Barack Obama,66,TRUE,FALSE,primary
2008-02-05,California,Barack Obama,75,TRUE,TRUE,primary
2008-02-05,Colorado,Barack Obama,61,TRUE,TRUE,caucus
2008-02-05,Connecticut,Barack Obama,64,TRUE,TRUE,primary
2008-02-05,Delaware,Barack Obama,76,TRUE,TRUE,primary
2008-02-05,Georgia,Barack Obama,58,TRUE,TRUE,primary
2008-02-05,Idaho county,Barack Obama,45,TRUE,TRUE,caucus
2008-02-05,Illinois,Barack Obama,40,TRUE,FALSE,primary
2008-02-05,Kansas local unit conventions,Barack Obama,47,TRUE,TRUE,primary
2008-02-05,Massachusetts,Barack Obama,56,TRUE,FALSE,primary
2008-02-05,Minnesota,Barack Obama,59,TRUE,FALSE,caucus
2008-02-05,Missouri,Barack Obama,61,TRUE,TRUE,primary
2008-02-05,New Jersey,Barack Obama,61,TRUE,TRUE,primary
2008-02-05,New Mexico,Barack Obama,45,TRUE,FALSE,caucus
2008-02-05,New York,Barack Obama,50,TRUE,FALSE,primary
2008-02-05,North Dakota,Barack Obama,49,TRUE,TRUE,caucus
2008-02-05,Oklahoma,Barack Obama,56,TRUE,TRUE,primary
