state,candidate,date,vote_perc,delegates,won_state,is_nominee,event_type
Illinois,Uncommitted,1992-03-17,4.5,164,FALSE,FALSE,primary
Michigan,Uncommitted,1992-03-17,4.75,131,FALSE,FALSE,primary
Democrats Abroad[8],Uncommitted,1992-03-19,12,0,FALSE,FALSE,caucus
North Dakota,Uncommitted,1992-03-19,26.51,14,FALSE,FALSE,caucus
Connecticut,Uncommitted,1992-03-24,3.14,53,FALSE,FALSE,primary
Vermont,Uncommitted,1992-03-31,25.72,14,FALSE,FALSE,caucus
Alaska,Uncommitted,1992-04-02,34.73,13,TRUE,FALSE,caucus
Puerto Rico,Uncommitted,1992-04-05,0.38,51,FALSE,FALSE,primary
Kansas,Uncommitted,1992-04-07,13.83,36,FALSE,FALSE,primary
Minnesota,Uncommitted,1992-04-07,5.57,78,FALSE,FALSE,primary
New York,Uncommitted,1992-04-07,NA,244,NA,FALSE,primary
Wisconsin,Uncommitted,1992-04-07,2.01,82,FALSE,FALSE,primary
Virginia,Uncommitted,1992-04-11,36,78,FALSE,FALSE,caucus
Pennsylvania,Uncommitted,1992-04-28,NA,169,NA,FALSE,primary
Delaware,Uncommitted,1992-05-05,29.57,14,FALSE,FALSE,caucus
Indiana,Uncommitted,1992-05-05,NA,77,NA,FALSE,primary
North Carolina,Uncommitted,1992-05-05,15.42,84,FALSE,FALSE,primary
"Washington, D.C.",Uncommitted,1992-05-05,8.51,17,FALSE,FALSE,primary
Nebraska,Uncommitted,1992-05-12,16.41,25,FALSE,FALSE,primary
West Virginia,Uncommitted,1992-05-12,NA,31,NA,FALSE,primary
Oregon,Uncommitted,1992-05-19,NA,47,NA,FALSE,primary
Washington,Uncommitted,1992-05-19,NA,71,NA,FALSE,primary
Idaho,Uncommitted,1992-05-26,29.08,18,FALSE,FALSE,primary
Kentucky,Uncommitted,1992-05-26,27.95,52,FALSE,FALSE,primary
Arkansas,Uncommitted,1992-05-27,18.03,36,FALSE,FALSE,primary
Alabama,Uncommitted,1992-06-02,20.15,55,FALSE,FALSE,primary
California,Uncommitted,1992-06-02,NA,348,NA,FALSE,primary
Montana,Uncommitted,1992-06-02,23.98,16,FALSE,FALSE,primary
New Jersey,Uncommitted,1992-06-02,NA,105,NA,FALSE,primary
New Mexico,Uncommitted,1992-06-02,19.44,25,FALSE,FALSE,primary
Ohio,Uncommitted,1992-06-02,NA,151,NA,FALSE,primary
North Dakota,Uncommitted,1992-06-09,NA,14,NA,FALSE,primary
Iowa,Charles Woods,1992-02-10,NA,49,NA,FALSE,caucus
New Hampshire,Charles Woods,1992-02-18,1.71,18,FALSE,FALSE,primary
Maine,Charles Woods,1992-02-23,0.14,23,FALSE,FALSE,caucus
South Dakota,Charles Woods,1992-02-25,NA,15,NA,FALSE,primary
Colorado,Charles Woods,1992-03-03,0.44,47,FALSE,FALSE,primary
Georgia,Charles Woods,1992-03-03,NA,76,NA,FALSE,primary
Idaho,Charles Woods,1992-03-03,NA,18,NA,FALSE,caucus
Maryland,Charles Woods,1992-03-03,NA,67,NA,FALSE,primary
Minnesota,Charles Woods,1992-03-03,NA,78,NA,FALSE,caucus
Utah,Charles Woods,1992-03-03,0.48,23,FALSE,FALSE,caucus
Washington,Charles Woods,1992-03-03,NA,71,NA,FALSE,caucus
Arizona,Charles Woods,1992-03-07,NA,41,NA,FALSE,caucus
South Carolina,Charles Woods,1992-03-07,0.73,43,FALSE,FALSE,primary
Wyoming,Charles Woods,1992-03-07,NA,13,NA,FALSE,caucus
Nevada,Charles Woods,1992-03-08,NA,17,NA,FALSE,caucus
Florida,Charles Woods,1992-03-10,NA,148,NA,FALSE,primary
Hawaii,Charles Woods,1992-03-10,NA,14,NA,FALSE,caucus
Louisiana,Charles Woods,1992-03-10,2.34,60,FALSE,FALSE,primary
Massachusetts,Charles Woods,1992-03-10,NA,94,NA,FALSE,primary
Mississippi,Charles Woods,1992-03-10,NA,39,NA,FALSE,primary
Missouri,Charles Woods,1992-03-10,NA,77,NA,FALSE,primary
Oklahoma,Charles Woods,1992-03-10,4.04,45,FALSE,FALSE,primary
Texas,Charles Woods,1992-03-10,2.03,0,FALSE,FALSE,primary
Illinois,Charles Woods,1992-03-17,NA,164,NA,FALSE,primary
Michigan,Charles Woods,1992-03-17,NA,131,NA,FALSE,primary
Democrats Abroad[8],Charles Woods,1992-03-19,NA,0,NA,FALSE,caucus
North Dakota,Charles Woods,1992-03-19,NA,14,NA,FALSE,caucus
Connecticut,Charles Woods,1992-03-24,NA,53,NA,FALSE,primary
Vermont,Charles Woods,1992-03-31,NA,14,NA,FALSE,caucus
Alaska,Charles Woods,1992-04-02,NA,13,NA,FALSE,caucus
Puerto Rico,Charles Woods,1992-04-05,0.12,51,FALSE,FALSE,primary
Kansas,Charles Woods,1992-04-07,0.7,36,FALSE,FALSE,primary
Minnesota,Charles Woods,1992-04-07,0.49,78,FALSE,FALSE,primary
New York,Charles Woods,1992-04-07,NA,244,NA,FALSE,primary
Wisconsin,Charles Woods,1992-04-07,NA,82,NA,FALSE,primary
Virginia,Charles Woods,1992-04-11,NA,78,NA,FALSE,caucus
Pennsylvania,Charles Woods,1992-04-28,NA,169,NA,FALSE,primary
Delaware,Charles Woods,1992-05-05,NA,14,NA,FALSE,caucus
Indiana,Charles Woods,1992-05-05,NA,77,NA,FALSE,primary
North Carolina,Charles Woods,1992-05-05,NA,84,NA,FALSE,primary
"Washington, D.C.",Charles Woods,1992-05-05,NA,17,NA,FALSE,primary
Nebraska,Charles Woods,1992-05-12,0.32,25,FALSE,FALSE,primary
West Virginia,Charles Woods,1992-05-12,0.49,31,FALSE,FALSE,primary
Oregon,Charles Woods,1992-05-19,0.54,47,FALSE,FALSE,primary
Washington,Charles Woods,1992-05-19,NA,71,NA,FALSE,primary
Idaho,Charles Woods,1992-05-26,NA,18,NA,FALSE,primary
Kentucky,Charles Woods,1992-05-26,NA,52,NA,FALSE,primary
Arkansas,Charles Woods,1992-05-27,NA,36,NA,FALSE,primary
Alabama,Charles Woods,1992-06-02,3.38,55,FALSE,FALSE,primary
California,Charles Woods,1992-06-02,NA,348,NA,FALSE,primary
Montana,Charles Woods,1992-06-02,NA,16,NA,FALSE,primary
New Jersey,Charles Woods,1992-06-02,NA,105,NA,FALSE,primary
New Mexico,Charles Woods,1992-06-02,NA,25,NA,FALSE,primary
Ohio,Charles Woods,1992-06-02,NA,151,NA,FALSE,primary
North Dakota,Charles Woods,1992-06-09,20.26,14,FALSE,FALSE,primary
Iowa,Eugene McCarthy,1992-02-10,NA,49,NA,FALSE,caucus
New Hampshire,Eugene McCarthy,1992-02-18,0.13,18,FALSE,FALSE,primary
Maine,Eugene McCarthy,1992-02-23,NA,23,NA,FALSE,caucus
South Dakota,Eugene McCarthy,1992-02-25,NA,15,NA,FALSE,primary
Colorado,Eugene McCarthy,1992-03-03,0.2,47,FALSE,FALSE,primary
Georgia,Eugene McCarthy,1992-03-03,NA,76,NA,FALSE,primary
Idaho,Eugene McCarthy,1992-03-03,NA,18,NA,FALSE,caucus
Maryland,Eugene McCarthy,1992-03-03,NA,67,NA,FALSE,primary
Minnesota,Eugene McCarthy,1992-03-03,NA,78,NA,FALSE,caucus
Utah,Eugene McCarthy,1992-03-03,NA,23,NA,FALSE,caucus
Washington,Eugene McCarthy,1992-03-03,NA,71,NA,FALSE,caucus
Arizona,Eugene McCarthy,1992-03-07,NA,41,NA,FALSE,caucus
South Carolina,Eugene McCarthy,1992-03-07,NA,43,NA,FALSE,primary
Wyoming,Eugene McCarthy,1992-03-07,NA,13,NA,FALSE,caucus
Nevada,Eugene McCarthy,1992-03-08,NA,17,NA,FALSE,caucus
Florida,Eugene McCarthy,1992-03-10,NA,148,NA,FALSE,primary
Hawaii,Eugene McCarthy,1992-03-10,NA,14,NA,FALSE,caucus
Louisiana,Eugene McCarthy,1992-03-10,3.94,60,FALSE,FALSE,primary
Massachusetts,Eugene McCarthy,1992-03-10,0.39,94,FALSE,FALSE,primary
Mississippi,Eugene McCarthy,1992-03-10,NA,39,NA,FALSE,primary
Missouri,Eugene McCarthy,1992-03-10,NA,77,NA,FALSE,primary
Oklahoma,Eugene McCarthy,1992-03-10,NA,45,NA,FALSE,primary
Texas,Eugene McCarthy,1992-03-10,NA,0,NA,FALSE,primary
Illinois,Eugene McCarthy,1992-03-17,NA,164,NA,FALSE,primary
Michigan,Eugene McCarthy,1992-03-17,NA,131,NA,FALSE,primary
Democrats Abroad[8],Eugene McCarthy,1992-03-19,NA,0,NA,FALSE,caucus
North Dakota,Eugene McCarthy,1992-03-19,NA,14,NA,FALSE,caucus
Connecticut,Eugene McCarthy,1992-03-24,0.6,53,FALSE,FALSE,primary
Vermont,Eugene McCarthy,1992-03-31,NA,14,NA,FALSE,caucus
Alaska,Eugene McCarthy,1992-04-02,NA,13,NA,FALSE,caucus
Puerto Rico,Eugene McCarthy,1992-04-05,NA,51,NA,FALSE,primary
Kansas,Eugene McCarthy,1992-04-07,NA,36,NA,FALSE,primary
Minnesota,Eugene McCarthy,1992-04-07,1.81,78,FALSE,FALSE,primary
New York,Eugene McCarthy,1992-04-07,0.93,244,FALSE,FALSE,primary
Wisconsin,Eugene McCarthy,1992-04-07,0.85,82,FALSE,FALSE,primary
Virginia,Eugene McCarthy,1992-04-11,NA,78,NA,FALSE,caucus
Pennsylvania,Eugene McCarthy,1992-04-28,NA,169,NA,FALSE,primary
Delaware,Eugene McCarthy,1992-05-05,NA,14,NA,FALSE,caucus
Indiana,Eugene McCarthy,1992-05-05,NA,77,NA,FALSE,primary
North Carolina,Eugene McCarthy,1992-05-05,NA,84,NA,FALSE,primary
"Washington, D.C.",Eugene McCarthy,1992-05-05,NA,17,NA,FALSE,primary
Nebraska,Eugene McCarthy,1992-05-12,1.01,25,FALSE,FALSE,primary
West Virginia,Eugene McCarthy,1992-05-12,NA,31,NA,FALSE,primary
Oregon,Eugene McCarthy,1992-05-19,1.9,47,FALSE,FALSE,primary
Washington,Eugene McCarthy,1992-05-19,NA,71,NA,FALSE,primary
Idaho,Eugene McCarthy,1992-05-26,NA,18,NA,FALSE,primary
Kentucky,Eugene McCarthy,1992-05-26,NA,52,NA,FALSE,primary
Arkansas,Eugene McCarthy,1992-05-27,NA,36,NA,FALSE,primary
Alabama,Eugene McCarthy,1992-06-02,NA,55,NA,FALSE,primary
California,Eugene McCarthy,1992-06-02,2.12,348,FALSE,FALSE,primary
Montana,Eugene McCarthy,1992-06-02,NA,16,NA,FALSE,primary
New Jersey,Eugene McCarthy,1992-06-02,NA,105,NA,FALSE,primary
New Mexico,Eugene McCarthy,1992-06-02,NA,25,NA,FALSE,primary
Ohio,Eugene McCarthy,1992-06-02,NA,151,NA,FALSE,primary
North Dakota,Eugene McCarthy,1992-06-09,NA,14,NA,FALSE,primary
Iowa,Lyndon LaRouche,1992-02-10,NA,49,NA,FALSE,caucus
New Hampshire,Lyndon LaRouche,1992-02-18,0.07,18,FALSE,FALSE,primary
Maine,Lyndon LaRouche,1992-02-23,0.74,23,FALSE,FALSE,caucus
South Dakota,Lyndon LaRouche,1992-02-25,NA,15,NA,FALSE,primary
Colorado,Lyndon LaRouche,1992-03-03,0.14,47,FALSE,FALSE,primary
Georgia,Lyndon LaRouche,1992-03-03,NA,76,NA,FALSE,primary
Idaho,Lyndon LaRouche,1992-03-03,NA,18,NA,FALSE,caucus
Maryland,Lyndon LaRouche,1992-03-03,0.8,67,FALSE,FALSE,primary
Minnesota,Lyndon LaRouche,1992-03-03,NA,78,NA,FALSE,caucus
Utah,Lyndon LaRouche,1992-03-03,NA,23,NA,FALSE,caucus
Washington,Lyndon LaRouche,1992-03-03,NA,71,NA,FALSE,caucus
Arizona,Lyndon LaRouche,1992-03-07,NA,41,NA,FALSE,caucus
South Carolina,Lyndon LaRouche,1992-03-07,0.18,43,FALSE,FALSE,primary
Wyoming,Lyndon LaRouche,1992-03-07,NA,13,NA,FALSE,caucus
Nevada,Lyndon LaRouche,1992-03-08,NA,17,NA,FALSE,caucus
Florida,Lyndon LaRouche,1992-03-10,NA,148,NA,FALSE,primary
Hawaii,Lyndon LaRouche,1992-03-10,NA,14,NA,FALSE,caucus
Louisiana,Lyndon LaRouche,1992-03-10,0.8,60,FALSE,FALSE,primary
Massachusetts,Lyndon LaRouche,1992-03-10,0.27,94,FALSE,FALSE,primary
Mississippi,Lyndon LaRouche,1992-03-10,0.73,39,FALSE,FALSE,primary
Missouri,Lyndon LaRouche,1992-03-10,NA,77,NA,FALSE,primary
Oklahoma,Lyndon LaRouche,1992-03-10,1.56,45,FALSE,FALSE,primary
Texas,Lyndon LaRouche,1992-03-10,0.82,0,FALSE,FALSE,primary
Illinois,Lyndon LaRouche,1992-03-17,0.44,164,FALSE,FALSE,primary
Michigan,Lyndon LaRouche,1992-03-17,0.35,131,FALSE,FALSE,primary
Democrats Abroad[8],Lyndon LaRouche,1992-03-19,NA,0,NA,FALSE,caucus
North Dakota,Lyndon LaRouche,1992-03-19,NA,14,NA,FALSE,caucus
Connecticut,Lyndon LaRouche,1992-03-24,0.52,53,FALSE,FALSE,primary
Vermont,Lyndon LaRouche,1992-03-31,NA,14,NA,FALSE,caucus
Alaska,Lyndon LaRouche,1992-04-02,NA,13,NA,FALSE,caucus
Puerto Rico,Lyndon LaRouche,1992-04-05,0.04,51,FALSE,FALSE,primary
Kansas,Lyndon LaRouche,1992-04-07,0.39,36,FALSE,FALSE,primary
Minnesota,Lyndon LaRouche,1992-04-07,0.26,78,FALSE,FALSE,primary
New York,Lyndon LaRouche,1992-04-07,NA,244,NA,FALSE,primary
Wisconsin,Lyndon LaRouche,1992-04-07,0.4,82,FALSE,FALSE,primary
Virginia,Lyndon LaRouche,1992-04-11,NA,78,NA,FALSE,caucus
Pennsylvania,Lyndon LaRouche,1992-04-28,1.7,169,FALSE,FALSE,primary
Delaware,Lyndon LaRouche,1992-05-05,NA,14,NA,FALSE,caucus
Indiana,Lyndon LaRouche,1992-05-05,NA,77,NA,FALSE,primary
North Carolina,Lyndon LaRouche,1992-05-05,NA,84,NA,FALSE,primary
"Washington, D.C.",Lyndon LaRouche,1992-05-05,NA,17,NA,FALSE,primary
Nebraska,Lyndon LaRouche,1992-05-12,0.76,25,FALSE,FALSE,primary
West Virginia,Lyndon LaRouche,1992-05-12,1.02,31,FALSE,FALSE,primary
Oregon,Lyndon LaRouche,1992-05-19,0.87,47,FALSE,FALSE,primary
Washington,Lyndon LaRouche,1992-05-19,0.72,71,FALSE,FALSE,primary
Idaho,Lyndon LaRouche,1992-05-26,3.65,18,FALSE,FALSE,primary
Kentucky,Lyndon LaRouche,1992-05-26,NA,52,NA,FALSE,primary
Arkansas,Lyndon LaRouche,1992-05-27,2.9,36,FALSE,FALSE,primary
Alabama,Lyndon LaRouche,1992-06-02,1.45,55,FALSE,FALSE,primary
California,Lyndon LaRouche,1992-06-02,0.77,348,FALSE,FALSE,primary
Montana,Lyndon LaRouche,1992-06-02,NA,16,NA,FALSE,primary
New Jersey,Lyndon LaRouche,1992-06-02,1.93,105,FALSE,FALSE,primary
New Mexico,Lyndon LaRouche,1992-06-02,1.33,25,FALSE,FALSE,primary
Ohio,Lyndon LaRouche,1992-06-02,1.67,151,FALSE,FALSE,primary
North Dakota,Lyndon LaRouche,1992-06-09,21.36,14,TRUE,FALSE,primary
