state,candidate,date,vote_perc,delegates,won_state,is_nominee,event_type
Nevada,Jerry Brown,1992-03-08,34.83,17,TRUE,FALSE,caucus
Florida,Jerry Brown,1992-03-10,12.19,148,FALSE,FALSE,primary
Hawaii,Jerry Brown,1992-03-10,13.6,14,FALSE,FALSE,caucus
Louisiana,Jerry Brown,1992-03-10,6.63,60,FALSE,FALSE,primary
Massachusetts,Jerry Brown,1992-03-10,14.6,94,FALSE,FALSE,primary
Mississippi,Jerry Brown,1992-03-10,9.61,39,FALSE,FALSE,primary
Missouri,Jerry Brown,1992-03-10,5.7,77,FALSE,FALSE,primary
Oklahoma,Jerry Brown,1992-03-10,16.69,45,FALSE,FALSE,primary
Texas,Jerry Brown,1992-03-10,8.02,0,FALSE,FALSE,primary
Illinois,Jerry Brown,1992-03-17,14.65,164,FALSE,FALSE,primary
Michigan,Jerry Brown,1992-03-17,16.56,131,FALSE,FALSE,primary
Democrats Abroad[8],Jerry Brown,1992-03-19,NA,0,NA,FALSE,caucus
North Dakota,Jerry Brown,1992-03-19,7.68,14,FALSE,FALSE,caucus
Connecticut,Jerry Brown,1992-03-24,37.24,53,TRUE,FALSE,primary
Vermont,Jerry Brown,1992-03-31,47.4,14,TRUE,FALSE,caucus
Alaska,Jerry Brown,1992-04-02,33.09,13,FALSE,FALSE,caucus
Puerto Rico,Jerry Brown,1992-04-05,1.42,51,FALSE,FALSE,primary
Kansas,Jerry Brown,1992-04-07,12.99,36,FALSE,FALSE,primary
Minnesota,Jerry Brown,1992-04-07,30.6,78,FALSE,FALSE,primary
New York,Jerry Brown,1992-04-07,NA,244,NA,FALSE,primary
Wisconsin,Jerry Brown,1992-04-07,34.46,82,FALSE,FALSE,primary
Virginia,Jerry Brown,1992-04-11,12,78,FALSE,FALSE,caucus
Pennsylvania,Jerry Brown,1992-04-28,25.72,169,FALSE,FALSE,primary
Delaware,Jerry Brown,1992-05-05,19.5,14,FALSE,FALSE,caucus
Indiana,Jerry Brown,1992-05-05,21.47,77,FALSE,FALSE,primary
North Carolina,Jerry Brown,1992-05-05,10.4,84,FALSE,FALSE,primary
"Washington, D.C.",Jerry Brown,1992-05-05,7.21,17,FALSE,FALSE,primary
Nebraska,Jerry Brown,1992-05-12,21.03,25,FALSE,FALSE,primary
West Virginia,Jerry Brown,1992-05-12,11.9,31,FALSE,FALSE,primary
Oregon,Jerry Brown,1992-05-19,31.18,47,FALSE,FALSE,primary
Washington,Jerry Brown,1992-05-19,23.05,71,FALSE,FALSE,primary
Idaho,Jerry Brown,1992-05-26,16.71,18,FALSE,FALSE,primary
Kentucky,Jerry Brown,1992-05-26,8.29,52,FALSE,FALSE,primary
Arkansas,Jerry Brown,1992-05-27,11.02,36,FALSE,FALSE,primary
Alabama,Jerry Brown,1992-06-02,6.72,55,FALSE,FALSE,primary
California,Jerry Brown,1992-06-02,40.18,348,FALSE,FALSE,primary
Montana,Jerry Brown,1992-06-02,18.48,16,FALSE,FALSE,primary
New Jersey,Jerry Brown,1992-06-02,19.76,105,FALSE,FALSE,primary
New Mexico,Jerry Brown,1992-06-02,16.92,25,FALSE,FALSE,primary
Ohio,Jerry Brown,1992-06-02,18.94,151,FALSE,FALSE,primary
North Dakota,Jerry Brown,1992-06-09,NA,14,NA,FALSE,primary
Iowa,Paul Tsongas,1992-02-10,4.11,49,FALSE,FALSE,caucus
New Hampshire,Paul Tsongas,1992-02-18,33.2,18,TRUE,FALSE,primary
Maine,Paul Tsongas,1992-02-23,29.31,23,FALSE,FALSE,caucus
South Dakota,Paul Tsongas,1992-02-25,9.62,15,FALSE,FALSE,primary
Colorado,Paul Tsongas,1992-03-03,25.61,47,FALSE,FALSE,primary
Georgia,Paul Tsongas,1992-03-03,24.01,76,FALSE,FALSE,primary
Idaho,Paul Tsongas,1992-03-03,28.76,18,FALSE,FALSE,caucus
Maryland,Paul Tsongas,1992-03-03,43.4,67,TRUE,FALSE,primary
Minnesota,Paul Tsongas,1992-03-03,19.2,78,FALSE,FALSE,caucus
Utah,Paul Tsongas,1992-03-03,33.77,23,TRUE,FALSE,caucus
Washington,Paul Tsongas,1992-03-03,32.01,71,TRUE,FALSE,caucus
Arizona,Paul Tsongas,1992-03-07,34.4,41,TRUE,FALSE,caucus
South Carolina,Paul Tsongas,1992-03-07,18.33,43,FALSE,FALSE,primary
Wyoming,Paul Tsongas,1992-03-07,11.72,13,FALSE,FALSE,caucus
Nevada,Paul Tsongas,1992-03-08,19.69,17,FALSE,FALSE,caucus
Florida,Paul Tsongas,1992-03-10,34.75,148,FALSE,FALSE,primary
Hawaii,Paul Tsongas,1992-03-10,14.3,14,FALSE,FALSE,caucus
Louisiana,Paul Tsongas,1992-03-10,11.06,60,FALSE,FALSE,primary
Massachusetts,Paul Tsongas,1992-03-10,66.38,94,TRUE,FALSE,primary
Mississippi,Paul Tsongas,1992-03-10,8.12,39,FALSE,FALSE,primary
Missouri,Paul Tsongas,1992-03-10,10.2,77,FALSE,FALSE,primary
Oklahoma,Paul Tsongas,1992-03-10,NA,45,NA,FALSE,primary
Texas,Paul Tsongas,1992-03-10,19.23,0,FALSE,FALSE,primary
Illinois,Paul Tsongas,1992-03-17,25.79,164,FALSE,FALSE,primary
Michigan,Paul Tsongas,1992-03-17,25.84,131,FALSE,FALSE,primary
Democrats Abroad[8],Paul Tsongas,1992-03-19,37,0,TRUE,FALSE,caucus
North Dakota,Paul Tsongas,1992-03-19,10.54,14,FALSE,FALSE,caucus
Connecticut,Paul Tsongas,1992-03-24,19.53,53,FALSE,FALSE,primary
Vermont,Paul Tsongas,1992-03-31,9.68,14,FALSE,FALSE,caucus
Alaska,Paul Tsongas,1992-04-02,1.27,13,FALSE,FALSE,caucus
Puerto Rico,Paul Tsongas,1992-04-05,0.09,51,FALSE,FALSE,primary
Kansas,Paul Tsongas,1992-04-07,15.23,36,FALSE,FALSE,primary
Minnesota,Paul Tsongas,1992-04-07,21.35,78,FALSE,FALSE,primary
New York,Paul Tsongas,1992-04-07,NA,244,NA,FALSE,primary
Wisconsin,Paul Tsongas,1992-04-07,21.83,82,FALSE,FALSE,primary
Virginia,Paul Tsongas,1992-04-11,NA,78,NA,FALSE,caucus
Pennsylvania,Paul Tsongas,1992-04-28,12.76,169,FALSE,FALSE,primary
Delaware,Paul Tsongas,1992-05-05,30.16,14,TRUE,FALSE,caucus
Indiana,Paul Tsongas,1992-05-05,12.21,77,FALSE,FALSE,primary
North Carolina,Paul Tsongas,1992-05-05,8.32,84,FALSE,FALSE,primary
"Washington, D.C.",Paul Tsongas,1992-05-05,10.41,17,FALSE,FALSE,primary
Nebraska,Paul Tsongas,1992-05-12,7.11,25,FALSE,FALSE,primary
West Virginia,Paul Tsongas,1992-05-12,6.93,31,FALSE,FALSE,primary
Oregon,Paul Tsongas,1992-05-19,10.48,47,FALSE,FALSE,primary
Washington,Paul Tsongas,1992-05-19,12.83,71,FALSE,FALSE,primary
Idaho,Paul Tsongas,1992-05-26,NA,18,NA,FALSE,primary
Kentucky,Paul Tsongas,1992-05-26,4.88,52,FALSE,FALSE,primary
Arkansas,Paul Tsongas,1992-05-27,NA,36,NA,FALSE,primary
Alabama,Paul Tsongas,1992-06-02,NA,55,NA,FALSE,primary
California,Paul Tsongas,1992-06-02,7.42,348,FALSE,FALSE,primary
Montana,Paul Tsongas,1992-06-02,10.74,16,FALSE,FALSE,primary
New Jersey,Paul Tsongas,1992-06-02,11.15,105,FALSE,FALSE,primary
New Mexico,Paul Tsongas,1992-06-02,6.24,25,FALSE,FALSE,primary
Ohio,Paul Tsongas,1992-06-02,10.63,151,FALSE,FALSE,primary
North Dakota,Paul Tsongas,1992-06-09,NA,14,NA,FALSE,primary
Iowa,Bob Kerrey,1992-02-10,2.41,49,FALSE,FALSE,caucus
