date,state,candidate,vote_perc,is_nominee,won,event_type
2004-04-24,Guam,Dennis Kucinich,0,FALSE,FALSE,caucus
2004-04-27,Pennsylvania,Dennis Kucinich,4,FALSE,FALSE,primary
2004-05-04,Indiana,Dennis Kucinich,2,FALSE,FALSE,primary
2004-05-11,Nebraska,Dennis Kucinich,2,FALSE,FALSE,primary
2004-05-11,West Virginia,Dennis Kucinich,2,FALSE,FALSE,primary
2004-05-18,Arkansas,Dennis Kucinich,5,FALSE,FALSE,primary
2004-05-18,Kentucky,Dennis Kucinich,2,FALSE,FALSE,primary
2004-05-18,Oregon,Dennis Kucinich,17,FALSE,FALSE,primary
2004-06-01,Alabama,Dennis Kucinich,4,FALSE,FALSE,primary
2004-06-01,South Dakota,Dennis Kucinich,2,FALSE,FALSE,primary
2004-06-06,Puerto Rico,Dennis Kucinich,0,FALSE,FALSE,caucus
2004-06-08,Montana,Dennis Kucinich,11,FALSE,FALSE,primary
2004-06-08,New Jersey,Dennis Kucinich,4,FALSE,FALSE,primary
2004-01-14,District of Columbia,Joseph Lieberman,0,FALSE,FALSE,primary
2004-01-19,Iowa,Joseph Lieberman,0,FALSE,FALSE,caucus
2004-01-27,New Hampshire,Joseph Lieberman,9,FALSE,FALSE,primary
2004-02-03,Arizona,Joseph Lieberman,7,FALSE,FALSE,primary
2004-02-03,Delaware,Joseph Lieberman,11,FALSE,FALSE,primary
2004-02-03,Missouri,Joseph Lieberman,4,FALSE,FALSE,primary
2004-02-03,New Mexico,Joseph Lieberman,3,FALSE,FALSE,caucus
2004-02-03,North Dakota,Joseph Lieberman,1,FALSE,FALSE,caucus
2004-02-03,Oklahoma,Joseph Lieberman,7,FALSE,FALSE,primary
2004-02-03,South Carolina,Joseph Lieberman,2,FALSE,FALSE,primary
2004-02-07,Michigan,Joseph Lieberman,0,FALSE,FALSE,caucus
2004-02-07,Washington,Joseph Lieberman,0,FALSE,FALSE,caucus
2004-02-08,Maine,Joseph Lieberman,0,FALSE,FALSE,caucus
2004-02-10,Tennessee,Joseph Lieberman,1,FALSE,FALSE,primary
2004-02-10,Virginia,Joseph Lieberman,1,FALSE,FALSE,primary
2004-02-14,District of Columbia,Joseph Lieberman,0,FALSE,FALSE,caucus
2004-02-14,Nevada,Joseph Lieberman,0,FALSE,FALSE,caucus
2004-02-17,Wisconsin,Joseph Lieberman,0,FALSE,FALSE,primary
2004-02-24,Hawaii,Joseph Lieberman,0,FALSE,FALSE,caucus
2004-02-24,Idaho,Joseph Lieberman,0,FALSE,FALSE,caucus
2004-02-24,Utah,Joseph Lieberman,1,FALSE,FALSE,primary
2004-03-02,California,Joseph Lieberman,2,FALSE,FALSE,primary
2004-03-02,Connecticut,Joseph Lieberman,5,FALSE,FALSE,primary
2004-03-02,Georgia,Joseph Lieberman,1,FALSE,FALSE,primary
2004-03-02,Maryland,Joseph Lieberman,1,FALSE,FALSE,primary
2004-03-02,Massachusetts,Joseph Lieberman,1,FALSE,FALSE,primary
2004-03-02,Minnesota,Joseph Lieberman,0,FALSE,FALSE,caucus
2004-03-02,New York,Joseph Lieberman,1,FALSE,FALSE,primary
2004-03-02,Ohio,Joseph Lieberman,1,FALSE,FALSE,primary
2004-03-02,Rhode Island,Joseph Lieberman,1,FALSE,FALSE,primary
2004-03-02,Vermont[47],Joseph Lieberman,0,FALSE,FALSE,primary
2004-03-09,American Samoa,Joseph Lieberman,0,FALSE,FALSE,caucus
2004-03-09,Florida,Joseph Lieberman,2,FALSE,FALSE,primary
2004-03-09,Louisiana,Joseph Lieberman,0,FALSE,FALSE,primary
2004-03-09,Mississippi,Joseph Lieberman,1,FALSE,FALSE,primary
2004-03-09,Texas,Joseph Lieberman,3,FALSE,FALSE,primary
2004-03-13,Kansas,Joseph Lieberman,0,FALSE,FALSE,caucus
2004-03-16,Illinois,Joseph Lieberman,2,FALSE,FALSE,primary
2004-03-20,Alaska,Joseph Lieberman,0,FALSE,FALSE,caucus
2004-03-20,Wyoming,Joseph Lieberman,0,FALSE,FALSE,caucus
2004-03-27,Expatriates,Joseph Lieberman,0,FALSE,FALSE,caucus
2004-04-13,Colorado,Joseph Lieberman,0,FALSE,FALSE,caucus
2004-04-17,North Carolina,Joseph Lieberman,0,FALSE,FALSE,caucus
2004-04-17,Virgin Islands,Joseph Lieberman,0,FALSE,FALSE,caucus
2004-04-24,Guam,Joseph Lieberman,0,FALSE,FALSE,caucus
2004-04-27,Pennsylvania,Joseph Lieberman,0,FALSE,FALSE,primary
2004-05-04,Indiana,Joseph Lieberman,0,FALSE,FALSE,primary
2004-05-11,Nebraska,Joseph Lieberman,0,FALSE,FALSE,primary
2004-05-11,West Virginia,Joseph Lieberman,6,FALSE,FALSE,primary
2004-05-18,Arkansas,Joseph Lieberman,0,FALSE,FALSE,primary
2004-05-18,Kentucky,Joseph Lieberman,5,FALSE,FALSE,primary
2004-05-18,Oregon,Joseph Lieberman,0,FALSE,FALSE,primary
2004-06-01,Alabama,Joseph Lieberman,0,FALSE,FALSE,primary
2004-06-01,South Dakota,Joseph Lieberman,0,FALSE,FALSE,primary
2004-06-06,Puerto Rico,Joseph Lieberman,0,FALSE,FALSE,caucus
2004-06-08,Montana,Joseph Lieberman,0,FALSE,FALSE,primary
2004-06-08,New Jersey,Joseph Lieberman,0,FALSE,FALSE,primary
2004-01-14,District of Columbia,Al Sharpton,34,FALSE,FALSE,primary
2004-01-19,Iowa,Al Sharpton,0,FALSE,FALSE,caucus
2004-01-27,New Hampshire,Al Sharpton,0,FALSE,FALSE,primary
2004-02-03,Arizona,Al Sharpton,0,FALSE,FALSE,primary
2004-02-03,Delaware,Al Sharpton,6,FALSE,FALSE,primary
2004-02-03,Missouri,Al Sharpton,3,FALSE,FALSE,primary
2004-02-03,New Mexico,Al Sharpton,0,FALSE,FALSE,caucus
2004-02-03,North Dakota,Al Sharpton,0,FALSE,FALSE,caucus
2004-02-03,Oklahoma,Al Sharpton,1,FALSE,FALSE,primary
2004-02-03,South Carolina,Al Sharpton,10,FALSE,FALSE,primary
2004-02-07,Michigan,Al Sharpton,7,FALSE,FALSE,caucus
2004-02-07,Washington,Al Sharpton,0,FALSE,FALSE,caucus
2004-02-08,Maine,Al Sharpton,0,FALSE,FALSE,caucus
2004-02-10,Tennessee,Al Sharpton,2,FALSE,FALSE,primary
2004-02-10,Virginia,Al Sharpton,3,FALSE,FALSE,primary
2004-02-14,District of Columbia,Al Sharpton,20,FALSE,FALSE,caucus
2004-02-14,Nevada,Al Sharpton,1,FALSE,FALSE,caucus
2004-02-17,Wisconsin,Al Sharpton,2,FALSE,FALSE,primary
2004-02-24,Hawaii,Al Sharpton,0,FALSE,FALSE,caucus
2004-02-24,Idaho,Al Sharpton,0,FALSE,FALSE,caucus
2004-02-24,Utah,Al Sharpton,0,FALSE,FALSE,primary
2004-03-02,California,Al Sharpton,4,FALSE,FALSE,primary
2004-03-02,Connecticut,Al Sharpton,3,FALSE,FALSE,primary
2004-03-02,Georgia,Al Sharpton,6,FALSE,FALSE,primary
2004-03-02,Maryland,Al Sharpton,5,FALSE,FALSE,primary
2004-03-02,Massachusetts,Al Sharpton,1,FALSE,FALSE,primary
2004-03-02,Minnesota,Al Sharpton,1,FALSE,FALSE,caucus
2004-03-02,New York,Al Sharpton,8,FALSE,TRUE,primary
2004-03-02,Ohio,Al Sharpton,0,FALSE,FALSE,primary
2004-03-02,Rhode Island,Al Sharpton,0,FALSE,FALSE,primary
2004-03-02,Vermont[47],Al Sharpton,0,FALSE,FALSE,primary
2004-03-09,American Samoa,Al Sharpton,0,FALSE,FALSE,caucus
2004-03-09,Florida,Al Sharpton,3,FALSE,FALSE,primary
2004-03-09,Louisiana,Al Sharpton,0,FALSE,FALSE,primary
2004-03-09,Mississippi,Al Sharpton,5,FALSE,FALSE,primary
2004-03-09,Texas,Al Sharpton,4,FALSE,FALSE,primary
2004-03-13,Kansas,Al Sharpton,0,FALSE,FALSE,caucus
2004-03-16,Illinois,Al Sharpton,3,FALSE,FALSE,primary
2004-03-20,Alaska,Al Sharpton,0,FALSE,FALSE,caucus
2004-03-20,Wyoming,Al Sharpton,1,FALSE,FALSE,caucus
2004-03-27,Expatriates,Al Sharpton,1,FALSE,FALSE,caucus
2004-04-13,Colorado,Al Sharpton,0,FALSE,FALSE,caucus
2004-04-17,North Carolina,Al Sharpton,3,FALSE,FALSE,caucus
2004-04-17,Virgin Islands,Al Sharpton,0,FALSE,FALSE,caucus
2004-04-24,Guam,Al Sharpton,0,FALSE,FALSE,caucus
2004-04-27,Pennsylvania,Al Sharpton,0,FALSE,FALSE,primary
2004-05-04,Indiana,Al Sharpton,0,FALSE,FALSE,primary
2004-05-11,Nebraska,Al Sharpton,2,FALSE,FALSE,primary
2004-05-11,West Virginia,Al Sharpton,0,FALSE,FALSE,primary
2004-05-18,Arkansas,Al Sharpton,0,FALSE,FALSE,primary
2004-05-18,Kentucky,Al Sharpton,2,FALSE,FALSE,primary
2004-05-18,Oregon,Al Sharpton,0,FALSE,FALSE,primary
2004-06-01,Alabama,Al Sharpton,0,FALSE,FALSE,primary
2004-06-01,South Dakota,Al Sharpton,0,FALSE,FALSE,primary
2004-06-06,Puerto Rico,Al Sharpton,0,FALSE,FALSE,caucus
2004-06-08,Montana,Al Sharpton,0,FALSE,FALSE,primary
2004-06-08,New Jersey,Al Sharpton,0,FALSE,FALSE,primary
