date,state,candidate,vote_perc,won_state,is_nominee,event_type
1980-06-03,New Jersey,Ted Kennedy,56.18,TRUE,FALSE,primary
1980-06-03,New Mexico,Ted Kennedy,46.26,TRUE,FALSE,primary
1980-06-03,Ohio,Ted Kennedy,44.16,FALSE,FALSE,primary
1980-06-03,Rhode Island,Ted Kennedy,68.3,TRUE,FALSE,primary
1980-06-03,South Dakota,Ted Kennedy,48.6,TRUE,FALSE,primary
1980-06-03,West Virginia,Ted Kennedy,37.82,FALSE,FALSE,primary
1980-01-21,Iowa,Jerry Brown,0,FALSE,FALSE,caucus
1980-02-10,Maine,Jerry Brown,13.9,FALSE,FALSE,caucus
1980-02-26,New Hampshire,Jerry Brown,9.6,FALSE,FALSE,primary
1980-03-04,Massachusetts,Jerry Brown,3.47,FALSE,FALSE,primary
1980-03-04,Vermont *,Jerry Brown,0.9,FALSE,FALSE,primary
1980-03-11,Alabama,Jerry Brown,4.01,FALSE,FALSE,primary
1980-03-11,Florida,Jerry Brown,4.87,FALSE,FALSE,primary
1980-03-11,Georgia,Jerry Brown,1.89,FALSE,FALSE,primary
1980-03-16,Puerto Rico,Jerry Brown,0.19,FALSE,FALSE,primary
1980-03-18,Illinois,Jerry Brown,3.26,FALSE,FALSE,primary
1980-03-25,Connecticut,Jerry Brown,2.56,FALSE,FALSE,primary
1980-03-25,New York,Jerry Brown,0,TRUE,FALSE,primary
1980-04-01,Kansas,Jerry Brown,4.87,FALSE,FALSE,primary
1980-04-01,Wisconsin,Jerry Brown,11.83,FALSE,FALSE,primary
1980-04-05,Louisiana,Jerry Brown,4.68,FALSE,FALSE,primary
1980-04-22,Pennsylvania,Jerry Brown,2.34,FALSE,FALSE,primary
1980-04-22,Vermont,Jerry Brown,0,FALSE,FALSE,caucus
1980-04-26,Michigan,Jerry Brown,0,FALSE,FALSE,caucus
1980-05-03,Texas,Jerry Brown,2.58,FALSE,FALSE,primary
1980-05-06,Washington D.C.,Jerry Brown,0,FALSE,FALSE,primary
1980-05-06,Indiana,Jerry Brown,0,FALSE,FALSE,primary
1980-05-06,North Carolina,Jerry Brown,2.91,FALSE,FALSE,primary
1980-05-06,Tennessee,Jerry Brown,1.9,FALSE,FALSE,primary
1980-05-13,Nebraska,Jerry Brown,3.56,FALSE,FALSE,primary
1980-05-13,Maryland,Jerry Brown,3,FALSE,FALSE,primary
1980-05-20,Oregon,Jerry Brown,9.37,FALSE,FALSE,primary
1980-05-20,Michigan **,Jerry Brown,29.38,FALSE,FALSE,caucus
1980-05-27,Arkansas,Jerry Brown,0,FALSE,FALSE,primary
1980-05-27,Idaho,Jerry Brown,4.12,FALSE,FALSE,primary
1980-05-27,Kentucky,Jerry Brown,0,FALSE,FALSE,primary
1980-05-27,Nevada,Jerry Brown,0,FALSE,FALSE,primary
1980-06-03,California,Jerry Brown,4.04,FALSE,FALSE,primary
1980-06-03,Montana,Jerry Brown,0,FALSE,FALSE,primary
1980-06-03,New Jersey,Jerry Brown,0,FALSE,FALSE,primary
1980-06-03,New Mexico,Jerry Brown,0,FALSE,FALSE,primary
1980-06-03,Ohio,Jerry Brown,0,FALSE,FALSE,primary
1980-06-03,Rhode Island,Jerry Brown,0.81,FALSE,FALSE,primary
1980-06-03,South Dakota,Jerry Brown,0,FALSE,FALSE,primary
1980-06-03,West Virginia,Jerry Brown,0,FALSE,FALSE,primary
1980-01-21,Iowa,Lyndon LaRouche,0,FALSE,FALSE,caucus
1980-02-10,Maine,Lyndon LaRouche,0,FALSE,FALSE,caucus
1980-02-26,New Hampshire,Lyndon LaRouche,2.08,FALSE,FALSE,primary
1980-03-04,Massachusetts,Lyndon LaRouche,0,FALSE,FALSE,primary
1980-03-04,Vermont *,Lyndon LaRouche,0.02,FALSE,FALSE,primary
1980-03-11,Alabama,Lyndon LaRouche,0,FALSE,FALSE,primary
1980-03-11,Florida,Lyndon LaRouche,0,FALSE,FALSE,primary
1980-03-11,Georgia,Lyndon LaRouche,0.13,FALSE,FALSE,primary
1980-03-16,Puerto Rico,Lyndon LaRouche,0,FALSE,FALSE,primary
1980-03-18,Illinois,Lyndon LaRouche,1.6,FALSE,FALSE,primary
1980-03-25,Connecticut,Lyndon LaRouche,2.67,FALSE,FALSE,primary
1980-03-25,New York,Lyndon LaRouche,0,TRUE,FALSE,primary
1980-04-01,Kansas,Lyndon LaRouche,0,FALSE,FALSE,primary
1980-04-01,Wisconsin,Lyndon LaRouche,1.1,FALSE,FALSE,primary
1980-04-05,Louisiana,Lyndon LaRouche,0,FALSE,FALSE,primary
1980-04-22,Pennsylvania,Lyndon LaRouche,0,FALSE,FALSE,primary
1980-04-22,Vermont,Lyndon LaRouche,0,FALSE,FALSE,caucus
1980-04-26,Michigan,Lyndon LaRouche,0,FALSE,FALSE,caucus
1980-05-03,Texas,Lyndon LaRouche,0,FALSE,FALSE,primary
1980-05-06,Washington D.C.,Lyndon LaRouche,1.39,FALSE,FALSE,primary
1980-05-06,Indiana,Lyndon LaRouche,0,FALSE,FALSE,primary
1980-05-06,North Carolina,Lyndon LaRouche,0,FALSE,FALSE,primary
1980-05-06,Tennessee,Lyndon LaRouche,0.31,FALSE,FALSE,primary
1980-05-13,Nebraska,Lyndon LaRouche,0.76,FALSE,FALSE,primary
1980-05-13,Maryland,Lyndon LaRouche,0.92,FALSE,FALSE,primary
1980-05-20,Oregon,Lyndon LaRouche,0,FALSE,FALSE,primary
1980-05-20,Michigan **,Lyndon LaRouche,11.41,FALSE,FALSE,caucus
1980-05-27,Arkansas,Lyndon LaRouche,0,FALSE,FALSE,primary
1980-05-27,Idaho,Lyndon LaRouche,0,FALSE,FALSE,primary
1980-05-27,Kentucky,Lyndon LaRouche,0,FALSE,FALSE,primary
1980-05-27,Nevada,Lyndon LaRouche,0,FALSE,FALSE,primary
1980-06-03,California,Lyndon LaRouche,2.13,FALSE,FALSE,primary
1980-06-03,Montana,Lyndon LaRouche,0,FALSE,FALSE,primary
1980-06-03,New Jersey,Lyndon LaRouche,0,FALSE,FALSE,primary
1980-06-03,New Mexico,Lyndon LaRouche,3.01,FALSE,FALSE,primary
1980-06-03,Ohio,Lyndon LaRouche,2.97,FALSE,FALSE,primary
1980-06-03,Rhode Island,Lyndon LaRouche,3.03,FALSE,FALSE,primary
1980-06-03,South Dakota,Lyndon LaRouche,0,FALSE,FALSE,primary
1980-06-03,West Virginia,Lyndon LaRouche,0,FALSE,FALSE,primary
1980-01-21,Iowa,Cliff Finch,0,FALSE,FALSE,caucus
1980-02-10,Maine,Cliff Finch,0,FALSE,FALSE,caucus
1980-02-26,New Hampshire,Cliff Finch,0,FALSE,FALSE,primary
1980-03-04,Massachusetts,Cliff Finch,0,FALSE,FALSE,primary
1980-03-04,Vermont *,Cliff Finch,0,FALSE,FALSE,primary
